time,open,high,low,close,volume
1786074300,518.1,521.5,518.0,520.0,23593
1786074360,519.85,522.0,519.85,521.25,6617
1786074420,521.6,522.65,519.65,519.7,14523
1786074480,519.95,520.5,519.95,520.5,4029
1786074540,521.85,521.85,521.1,521.2,6088
1786074600,521.2,522.1,520.5,521.3,5155
1786074660,521.4,524.2,521.4,523.15,11978
1786074720,523.5,523.8,523.15,523.3,7350
1786074780,523.7,523.7,522.0,522.0,8286
1786074840,522.35,522.35,521.0,521.15,16073
1786074900,521.45,521.55,520.6,521.55,6280
1786074960,521.5,521.5,520.1,520.6,4993
1786075020,520.7,520.7,519.5,519.7,5762
1786075080,519.75,520.15,519.5,520.15,2601
1786075140,520.3,520.35,519.65,519.65,2872
1786075200,519.3,519.75,519.15,519.6,2369
1786075260,520.4,520.4,519.6,519.6,893
1786075320,519.85,520.9,519.85,520.35,1079
1786075380,520.35,520.35,519.65,520.0,1604
1786075440,519.7,520.05,519.5,519.85,2014
1786075500,519.5,519.5,519.3,519.4,816
1786075560,519.35,519.7,519.35,519.7,2571
1786075620,519.7,519.7,519.4,519.6,875
1786075680,519.4,519.4,519.2,519.35,2141
1786075740,519.35,519.7,519.2,519.35,2129
1786075800,519.7,519.8,519.1,519.4,2913
1786075860,519.45,519.45,518.55,519.0,3805
1786075920,519.0,519.0,518.55,519.0,2480
1786075980,519.0,519.0,518.6,518.75,505
1786076040,518.75,519.0,518.75,518.75,739
1786076100,518.75,519.45,518.75,519.45,1221
1786076160,519.45,519.55,519.0,519.15,1133
1786076220,518.75,518.8,517.6,517.75,8551
1786076280,517.6,517.9,517.35,517.9,1508
1786076340,517.85,518.0,517.6,518.0,2386
1786076400,517.95,518.25,517.6,518.0,501
1786076460,518.25,519.1,518.25,519.1,2343
1786076520,519.1,519.1,518.45,518.45,808
1786076580,518.1,518.6,518.1,518.6,2099
1786076640,518.6,519.1,518.6,519.1,895
1786076700,519.1,519.3,519.0,519.0,681
1786076760,518.8,518.9,518.75,518.9,519
1786076820,518.9,518.9,518.75,518.75,191
1786076880,518.7,518.9,518.65,518.65,988
1786076940,518.5,519.55,518.5,519.2,2078
1786077000,519.55,519.7,519.55,519.7,1208
1786077060,519.65,519.7,519.2,519.7,530
1786077120,519.7,519.7,519.45,519.65,1944
1786077180,519.5,519.65,519.25,519.65,329
1786077240,519.35,519.35,518.75,518.75,3150
1786077300,519.0,519.0,518.75,519.0,856
1786077360,519.0,519.0,518.95,518.95,32
1786077420,518.95,518.95,518.9,518.9,51
1786077480,518.95,518.95,518.95,518.95,28
1786077540,519.0,519.0,518.95,519.0,384
1786077600,518.95,519.0,518.8,518.8,1983
1786077660,518.95,518.95,518.65,518.85,310
1786077720,518.75,518.9,518.2,518.5,3675
1786077780,518.2,518.35,517.85,517.95,4247
1786077840,517.6,517.9,517.6,517.6,665
1786077900,517.9,517.9,517.6,517.6,1276
1786077960,517.6,517.85,517.0,517.0,7092
1786078020,517.0,517.5,516.95,517.25,20062
1786078080,517.5,517.5,516.05,516.45,4383
1786078140,515.6,516.75,515.6,516.75,15581
1786078200,516.35,516.75,516.05,516.75,3183
1786078260,516.75,517.1,516.75,517.1,1711
1786078320,517.15,517.5,517.15,517.15,1483
1786078380,517.4,517.45,517.1,517.45,1824
1786078440,517.45,517.45,516.75,517.05,4559
1786078500,517.05,517.1,516.75,517.0,1382
1786078560,517.0,517.0,516.8,516.8,265
1786078620,516.8,517.0,516.8,517.0,611
1786078680,517.0,517.1,516.8,517.05,422
1786078740,517.0,517.0,516.8,517.0,486
1786078800,517.0,517.0,516.8,517.0,75
1786078860,517.0,517.15,517.0,517.05,1290
1786078920,517.05,517.05,516.8,516.8,1028
1786078980,516.8,517.0,516.5,517.0,2822
1786079040,516.65,517.05,516.65,517.05,341
1786079100,517.15,517.15,517.05,517.15,64
1786079160,517.15,517.15,517.05,517.05,1003
1786079220,517.05,517.15,516.8,516.8,1028
1786079280,516.8,517.8,516.8,517.8,6234
1786079340,517.45,518.35,517.4,518.1,4067
1786079400,518.1,518.5,518.1,518.25,3476
1786079460,518.05,518.5,518.05,518.5,249
1786079520,518.5,518.75,518.2,518.3,2610
1786079580,518.5,518.65,518.1,518.35,2926
1786079640,518.1,518.75,518.1,518.75,3152
1786079700,518.75,518.75,518.35,518.7,94
1786079760,518.9,518.95,518.9,518.9,688
1786079820,518.9,518.95,518.35,518.7,2446
1786079880,518.65,518.65,518.2,518.2,1068
1786079940,518.2,518.6,518.2,518.6,569
1786080000,518.15,518.45,518.15,518.15,2859
1786080060,518.1,518.5,517.7,518.15,1518
