time,open,high,low,close,volume
1786074300,3996.0,4006.5,3990.8,4006.5,2263
1786074360,4010.0,4024.4,4010.0,4016.1,1243
1786074420,4020.0,4037.5,4016.7,4016.7,2277
1786074480,4018.6,4020.5,4010.3,4010.3,1005
1786074540,4011.5,4014.1,4011.0,4014.1,212
1786074600,4014.5,4029.5,4014.5,4028.8,1087
1786074660,4026.5,4027.2,4021.2,4024.0,524
1786074720,4023.0,4039.7,4023.0,4037.0,924
1786074780,4040.0,4044.1,4038.4,4041.0,1523
1786074840,4043.8,4043.8,4035.2,4038.1,642
1786074900,4038.6,4038.6,4032.0,4032.5,391
1786074960,4032.9,4032.9,4029.8,4032.0,274
1786075020,4029.7,4030.0,4027.0,4030.0,931
1786075080,4033.8,4034.8,4033.8,4033.9,76
1786075140,4033.3,4033.3,4028.2,4029.1,338
1786075200,4029.0,4033.6,4029.0,4033.6,854
1786075260,4033.5,4033.5,4025.5,4025.5,219
1786075320,4026.0,4031.9,4025.5,4031.9,311
1786075380,4031.9,4031.9,4028.1,4028.1,36
1786075440,4030.2,4030.2,4025.6,4025.6,238
1786075500,4026.0,4027.9,4025.5,4027.9,214
1786075560,4025.5,4025.5,4021.4,4023.7,337
1786075620,4024.0,4025.6,4023.6,4023.6,129
1786075680,4026.7,4027.9,4021.1,4027.9,359
1786075740,4028.0,4028.0,4025.0,4027.5,144
1786075800,4027.9,4033.0,4027.5,4033.0,352
1786075860,4034.2,4034.2,4028.3,4028.3,232
1786075920,4028.3,4028.6,4027.5,4027.5,205
1786075980,4030.4,4031.2,4030.4,4031.1,82
1786076040,4030.0,4031.2,4030.0,4030.0,71
1786076100,4031.0,4034.2,4031.0,4031.1,314
1786076160,4033.0,4033.0,4029.7,4029.7,410
1786076220,4029.7,4030.7,4027.5,4029.7,216
1786076280,4029.8,4030.8,4027.0,4027.0,159
1786076340,4027.5,4029.4,4027.0,4027.0,49
1786076400,4027.0,4028.5,4025.4,4025.4,161
1786076460,4027.7,4028.3,4025.4,4027.3,83
1786076520,4027.8,4027.8,4025.7,4025.7,182
1786076580,4027.7,4027.9,4027.5,4027.9,19
1786076640,4027.9,4028.3,4026.3,4026.3,95
1786076700,4026.1,4027.9,4025.0,4025.0,101
1786076760,4027.8,4033.0,4024.1,4024.1,761
1786076820,4023.8,4028.9,4023.8,4025.7,152
1786076880,4028.3,4029.3,4028.1,4029.3,29
1786076940,4027.9,4030.0,4027.9,4030.0,25
1786077000,4030.5,4035.1,4030.1,4031.0,612
1786077060,4030.1,4031.2,4030.1,4030.1,28
1786077120,4030.0,4030.6,4029.0,4029.0,426
1786077180,4029.9,4029.9,4027.0,4028.3,36
1786077240,4028.3,4028.3,4025.0,4027.0,75
1786077300,4027.0,4027.0,4023.7,4027.0,158
1786077360,4026.8,4027.0,4026.8,4027.0,159
1786077420,4027.5,4028.3,4025.6,4025.6,59
1786077480,4025.9,4028.4,4025.9,4028.3,90
1786077540,4028.2,4028.2,4028.2,4028.2,3
1786077600,4027.9,4027.9,4027.9,4027.9,55
1786077660,4028.3,4029.8,4027.9,4029.8,98
1786077720,4030.0,4030.0,4029.4,4029.4,25
1786077780,4029.9,4030.0,4029.9,4029.9,134
1786077840,4030.0,4030.0,4029.9,4030.0,101
1786077900,4029.4,4029.9,4029.4,4029.9,83
1786077960,4029.4,4029.4,4028.3,4028.3,20
