time,open,high,low,close,volume
1786074300,1330.3,1338.5,1321.0,1336.3,2964
1786074360,1338.0,1338.0,1334.3,1335.0,511
1786074420,1337.0,1337.0,1335.0,1335.1,989
1786074480,1335.2,1335.4,1334.0,1334.0,562
1786074540,1335.3,1335.6,1334.2,1335.1,1009
1786074600,1335.0,1336.0,1335.0,1335.5,289
1786074660,1335.1,1335.9,1335.1,1335.9,55
1786074720,1335.9,1335.9,1334.4,1334.4,317
1786074780,1334.9,1334.9,1334.6,1334.6,339
1786074840,1334.5,1336.9,1334.4,1334.7,1693
1786074900,1333.7,1334.9,1333.5,1334.6,1509
1786074960,1334.2,1334.5,1333.2,1333.2,251
1786075020,1333.5,1333.5,1331.1,1332.8,536
1786075080,1333.4,1333.4,1331.6,1331.9,197
1786075140,1331.9,1331.9,1330.9,1331.1,181
1786075200,1330.1,1331.3,1330.1,1330.5,963
1786075260,1331.8,1332.4,1331.3,1331.8,159
1786075320,1332.0,1335.0,1332.0,1334.3,1580
1786075380,1334.0,1334.2,1332.6,1334.0,214
1786075440,1333.7,1333.7,1332.4,1332.4,110
1786075500,1332.4,1333.8,1332.4,1333.5,464
1786075560,1334.3,1334.3,1333.1,1333.6,494
1786075620,1335.0,1335.0,1334.2,1334.6,291
1786075680,1334.4,1334.9,1334.3,1334.9,12
1786075740,1334.9,1335.0,1334.0,1334.8,195
1786075800,1334.7,1335.0,1333.8,1335.0,47
1786075860,1335.4,1335.4,1333.6,1334.4,796
1786075920,1334.3,1334.6,1333.4,1333.9,191
1786075980,1334.4,1335.2,1334.4,1335.2,56
1786076040,1335.2,1335.2,1333.8,1335.0,351
1786076100,1335.8,1337.4,1335.3,1337.4,688
1786076160,1337.0,1337.2,1336.0,1337.0,350
1786076220,1336.8,1336.8,1335.0,1335.4,201
1786076280,1335.6,1335.7,1335.2,1335.6,162
1786076340,1335.6,1337.0,1335.6,1336.5,132
1786076400,1336.7,1336.7,1335.8,1335.9,68
1786076460,1335.9,1337.0,1335.8,1337.0,355
1786076520,1337.3,1337.7,1336.4,1336.4,208
1786076580,1336.7,1337.5,1336.7,1337.2,120
1786076640,1337.4,1338.0,1336.3,1338.0,489
1786076700,1337.9,1337.9,1337.5,1337.6,145
1786076760,1337.5,1337.5,1336.6,1337.4,84
1786076820,1337.5,1337.6,1337.1,1337.6,239
1786076880,1337.5,1337.6,1336.6,1337.0,52
1786076940,1336.6,1338.7,1336.6,1338.3,2265
1786077000,1338.6,1338.9,1338.0,1338.9,247
1786077060,1338.8,1338.9,1337.9,1338.0,246
1786077120,1338.5,1338.5,1336.6,1337.6,278
1786077180,1336.6,1337.8,1336.6,1337.6,62
1786077240,1337.8,1338.3,1336.9,1337.4,1147
1786077300,1337.4,1337.4,1337.3,1337.3,87
1786077360,1337.7,1338.5,1337.7,1338.5,411
1786077420,1338.7,1339.9,1338.7,1339.6,352
1786077480,1339.8,1339.8,1338.8,1339.7,128
1786077540,1339.8,1339.9,1339.4,1339.4,401
1786077600,1339.4,1339.8,1339.3,1339.8,159
1786077660,1339.2,1340.4,1339.0,1340.4,689
1786077720,1340.5,1340.5,1339.6,1339.8,536
1786077780,1339.8,1339.8,1338.8,1339.0,203
1786077840,1339.0,1339.0,1338.0,1338.0,75
1786077900,1337.9,1339.0,1337.9,1338.3,425
1786077960,1338.2,1338.6,1338.2,1338.3,127
1786078020,1338.5,1339.0,1338.3,1338.9,55
1786078080,1338.9,1338.9,1338.5,1338.5,435
1786078140,1339.0,1339.2,1338.9,1339.0,146
1786078200,1339.0,1339.1,1338.9,1339.1,151
1786078260,1339.4,1340.0,1339.3,1340.0,220
1786078320,1339.4,1340.0,1339.3,1339.9,286
1786078380,1339.8,1339.9,1339.8,1339.8,76
1786078440,1339.8,1339.8,1339.2,1339.8,42
1786078500,1339.8,1339.8,1338.8,1339.4,391
1786078560,1339.4,1339.8,1339.2,1339.8,160
1786078620,1339.8,1343.0,1339.8,1342.5,2268
1786078680,1343.5,1343.5,1342.4,1342.8,558
1786078740,1343.4,1343.4,1341.7,1342.2,462
