time,open,high,low,close,volume
1786074300,25.38,25.48,25.16,25.26,512393
1786074360,25.31,25.34,25.26,25.28,205499
1786074420,25.28,25.34,25.25,25.25,166003
1786074480,25.18,25.33,25.15,25.33,279572
1786074540,25.28,25.3,25.26,25.28,96689
1786074600,25.27,25.3,25.27,25.27,76362
1786074660,25.3,25.38,25.3,25.35,187151
1786074720,25.38,25.44,25.36,25.4,144615
1786074780,25.41,25.43,25.39,25.39,97671
1786074840,25.38,25.38,25.35,25.36,33620
1786074900,25.37,25.38,25.35,25.38,99372
1786074960,25.37,25.38,25.31,25.34,21354
1786075020,25.3,25.39,25.3,25.39,88336
1786075080,25.39,25.42,25.36,25.37,96563
1786075140,25.38,25.38,25.35,25.35,30437
1786075200,25.36,25.36,25.36,25.36,5010
1786075260,25.36,25.37,25.34,25.36,93384
1786075320,25.38,25.38,25.36,25.38,22683
1786075380,25.37,25.38,25.35,25.35,12207
1786075440,25.36,25.36,25.27,25.27,66485
1786075500,25.29,25.33,25.29,25.32,23661
1786075560,25.31,25.32,25.3,25.31,4179
1786075620,25.3,25.31,25.3,25.3,8640
1786075680,25.31,25.31,25.27,25.3,34707
1786075740,25.28,25.3,25.28,25.3,6395
1786075800,25.3,25.3,25.27,25.29,6109
1786075860,25.29,25.29,25.22,25.22,25473
1786075920,25.25,25.25,25.24,25.25,8240
1786075980,25.25,25.26,25.24,25.26,7829
1786076040,25.26,25.27,25.25,25.25,6089
1786076100,25.27,25.28,25.27,25.27,16727
1786076160,25.28,25.3,25.27,25.29,47456
1786076220,25.28,25.31,25.28,25.28,29393
1786076280,25.28,25.28,25.27,25.27,10522
1786076340,25.27,25.29,25.27,25.29,10343
1786076400,25.27,25.29,25.27,25.27,5614
1786076460,25.28,25.32,25.26,25.3,140071
1786076520,25.34,25.34,25.29,25.29,17051
1786076580,25.29,25.29,25.26,25.27,14117
1786076640,25.3,25.32,25.3,25.3,15704
1786076700,25.33,25.35,25.33,25.34,33651
1786076760,25.34,25.34,25.3,25.3,29427
1786076820,25.32,25.34,25.3,25.33,22708
1786076880,25.31,25.34,25.31,25.33,3648
1786076940,25.33,25.33,25.33,25.33,22203
1786077000,25.35,25.37,25.35,25.37,21562
1786077060,25.37,25.38,25.35,25.36,25121
1786077120,25.35,25.42,25.35,25.4,108547
1786077180,25.42,25.42,25.39,25.39,93773
1786077240,25.39,25.4,25.37,25.39,17015
1786077300,25.39,25.48,25.39,25.48,175725
1786077360,25.43,25.47,25.41,25.45,143781
1786077420,25.69,25.74,25.64,25.71,1928380
1786077480,25.71,25.8,25.66,25.71,510695
1786077540,25.69,25.72,25.66,25.69,136022
1786077600,25.69,25.7,25.67,25.7,120432
1786077660,25.7,25.73,25.7,25.73,50257
1786077720,25.71,25.71,25.69,25.71,82806
1786077780,25.72,25.89,25.72,25.82,1092265
1786077840,25.83,25.85,25.77,25.78,153416
1786077900,25.84,25.91,25.84,25.87,827316
1786077960,25.87,25.87,25.73,25.75,142469
1786078020,25.75,25.77,25.7,25.71,162276
1786078080,25.71,25.72,25.6,25.64,293177
1786078140,25.64,25.7,25.61,25.69,169410
1786078200,25.68,25.69,25.64,25.69,193715
1786078260,25.73,25.8,25.73,25.76,189492
1786078320,25.79,25.8,25.75,25.75,36428
1786078380,25.74,25.74,25.71,25.71,83363
1786078440,25.74,25.74,25.67,25.67,109780
1786078500,25.65,25.7,25.65,25.67,23627
1786078560,25.65,25.68,25.61,25.62,67991
