time,open,high,low,close,volume
1786074300,71.74,71.92,71.15,71.27,199290
1786074360,71.22,71.34,71.22,71.22,36881
1786074420,71.23,71.34,71.23,71.23,104104
1786074480,71.25,71.31,71.12,71.17,50873
1786074540,71.18,71.25,71.17,71.24,42892
1786074600,71.22,71.22,71.01,71.15,177175
1786074660,71.15,71.29,71.15,71.27,27602
1786074720,71.27,71.27,71.16,71.16,42018
1786074780,71.21,71.28,71.14,71.24,60654
1786074840,71.22,71.25,71.22,71.22,14819
1786074900,71.19,71.19,71.09,71.15,110722
1786074960,71.14,71.2,71.07,71.07,25964
1786075020,71.03,71.03,70.95,71.01,132941
1786075080,71.05,71.07,70.98,70.98,37486
1786075140,71.04,71.05,70.99,71.05,31990
1786075200,71.03,71.06,70.99,71.06,29359
1786075260,71.07,71.1,71.0,71.06,29600
1786075320,71.08,71.18,71.08,71.18,8925
1786075380,71.17,71.17,71.06,71.09,67119
1786075440,71.14,71.14,71.1,71.12,9050
1786075500,71.06,71.14,71.06,71.08,7210
1786075560,71.08,71.13,71.05,71.13,13737
1786075620,71.07,71.08,70.98,71.0,40431
1786075680,70.99,71.07,70.99,71.07,5275
1786075740,71.08,71.09,71.05,71.08,6363
1786075800,71.1,71.1,71.06,71.1,8859
1786075860,71.09,71.09,71.04,71.09,25550
1786075920,71.03,71.1,71.03,71.1,9570
1786075980,71.08,71.1,71.05,71.1,25653
1786076040,71.1,71.1,71.05,71.09,17677
1786076100,71.1,71.1,71.05,71.1,10700
1786076160,71.1,71.1,71.05,71.07,16693
1786076220,71.08,71.08,70.85,70.89,196219
1786076280,70.89,70.92,70.82,70.9,46358
1786076340,70.9,70.9,70.86,70.86,20891
1786076400,70.89,71.0,70.89,70.96,67682
1786076460,70.96,70.97,70.92,70.95,20153
1786076520,70.99,70.99,70.95,70.96,27511
1786076580,70.95,70.96,70.9,70.95,5604
1786076640,70.95,71.04,70.95,71.04,15167
1786076700,71.04,71.25,71.04,71.24,46492
1786076760,71.24,71.25,71.18,71.23,36845
1786076820,71.23,71.25,71.1,71.15,83772
1786076880,71.18,71.18,71.11,71.17,6966
1786076940,71.17,71.18,71.15,71.15,1227
1786077000,71.15,71.18,71.04,71.07,72094
1786077060,71.01,71.09,71.0,71.06,55957
1786077120,71.0,71.1,71.0,71.1,13934
1786077180,71.1,71.15,71.1,71.15,3319
1786077240,71.15,71.17,71.13,71.13,83981
1786077300,71.04,71.12,71.01,71.09,41476
1786077360,71.09,71.13,71.09,71.13,3337
1786077420,71.1,71.14,71.09,71.1,3906
1786077480,71.09,71.12,71.03,71.07,4461
1786077540,71.03,71.09,71.03,71.08,7581
1786077600,71.05,71.11,71.05,71.11,4594
1786077660,71.07,71.1,71.05,71.05,4200
1786077720,71.05,71.1,71.05,71.07,21565
1786077780,71.04,71.05,70.92,70.98,42495
1786077840,70.99,71.01,70.95,71.0,3148
1786077900,70.98,71.01,70.97,70.97,8176
1786077960,70.97,71.0,70.97,70.97,4092
1786078020,70.97,71.01,70.97,70.97,3734
1786078080,70.96,70.97,70.94,70.97,8878
1786078140,70.92,70.98,70.91,70.91,11640
1786078200,70.94,70.95,70.92,70.95,3866
1786078260,70.93,71.03,70.93,71.0,43331
1786078320,71.0,71.0,70.94,70.96,11805
1786078380,70.93,70.95,70.92,70.95,8574
1786078440,70.95,70.95,70.91,70.95,10594
1786078500,70.95,70.95,70.91,70.95,1373
1786078560,70.96,70.96,70.91,70.96,3738
1786078620,70.96,70.96,70.94,70.95,10257
1786078680,70.92,70.92,70.84,70.9,57090
1786078740,70.85,70.89,70.85,70.89,3279
1786078800,70.89,70.93,70.86,70.93,8681
1786078860,70.89,71.0,70.87,71.0,66211
1786078920,70.96,70.96,70.77,70.82,77289
1786078980,70.8,70.86,70.8,70.86,5485
1786079040,70.81,70.87,70.79,70.82,12257
1786079100,70.78,70.82,70.78,70.82,3124
1786079160,70.82,70.85,70.78,70.83,11228
1786079220,70.79,70.84,70.79,70.8,1179
1786079280,70.85,70.86,70.81,70.86,6223
1786079340,70.85,70.85,70.81,70.85,5557
1786079400,70.8,70.86,70.8,70.85,16392
1786079460,70.8,70.83,70.77,70.77,24618
1786079520,70.78,70.78,70.78,70.78,5693
1786079580,70.76,70.78,70.73,70.74,17414
1786079640,70.74,70.8,70.74,70.8,9672
1786079700,70.8,70.85,70.79,70.85,7938
1786079760,70.8,70.85,70.8,70.81,57465
1786079820,70.81,70.85,70.81,70.85,1976
1786079880,70.81,70.85,70.81,70.85,1987
1786079940,70.82,70.89,70.82,70.89,4640
1786080000,70.86,70.89,70.86,70.89,3368
1786080060,70.9,70.91,70.87,70.9,3486
1786080120,70.9,70.94,70.9,70.93,19377
1786080180,70.9,70.95,70.9,70.91,3466
1786080240,70.9,70.91,70.9,70.91,3793
1786080300,70.91,70.99,70.91,70.99,10882
1786080360,70.99,70.99,70.87,70.96,30679
1786080420,70.95,70.98,70.95,70.98,5344
1786080480,70.92,70.98,70.9,70.95,13343
1786080540,70.96,70.96,70.9,70.95,5889
1786080600,70.94,70.95,70.88,70.9,22720
1786080660,70.91,70.91,70.81,70.88,12009
1786080720,70.82,70.89,70.82,70.88,1920
1786080780,70.83,70.88,70.77,70.8,37665
1786080840,70.77,70.79,70.74,70.75,8735
1786080900,70.75,70.8,70.74,70.8,2038
1786080960,70.75,70.8,70.75,70.8,2426
1786081020,70.77,70.85,70.77,70.8,2559
1786081080,70.8,70.89,70.8,70.89,35534
1786081140,70.89,70.9,70.81,70.87,5362
1786081200,70.87,70.91,70.84,70.91,1236
1786081260,70.87,70.87,70.84,70.84,6372
1786081320,70.84,70.89,70.84,70.89,2156
1786081380,70.84,70.9,70.84,70.84,3723
1786081440,70.89,70.89,70.83,70.83,5019
1786081500,70.89,70.89,70.79,70.82,18569
1786081560,70.82,70.89,70.82,70.82,6037
1786081620,70.81,70.87,70.8,70.87,3058
1786081680,70.87,70.92,70.84,70.84,22940
1786081740,70.83,70.89,70.81,70.89,7815
1786081800,70.82,70.85,70.82,70.85,2015
