time,open,high,low,close,volume
1786074300,182.2,182.2,180.2,181.0,291317
1786074360,181.1,181.1,180.18,180.27,195542
1786074420,180.3,180.74,180.3,180.41,95381
1786074480,180.41,180.41,180.01,180.06,150571
1786074540,180.0,180.36,180.0,180.12,71765
1786074600,180.2,180.2,180.1,180.2,54718
1786074660,180.2,180.5,180.0,180.25,93224
1786074720,180.36,180.73,180.36,180.73,89013
1786074780,180.73,180.78,180.73,180.78,29074
1786074840,180.71,180.71,180.38,180.38,36580
1786074900,180.51,180.61,180.32,180.61,29228
1786074960,180.6,180.82,180.6,180.68,76748
1786075020,180.69,180.85,180.64,180.85,11849
1786075080,180.85,180.85,180.78,180.79,18991
1786075140,180.77,180.77,180.67,180.67,19702
1786075200,180.73,180.8,180.73,180.8,12896
1786075260,180.75,180.75,180.6,180.73,35712
1786075320,180.66,180.84,180.63,180.84,54605
1786075380,180.91,181.0,180.91,181.0,82974
1786075440,181.05,181.06,180.94,180.96,39554
1786075500,181.06,181.1,180.83,180.96,39793
1786075560,180.99,180.99,180.72,180.84,33289
1786075620,180.9,180.9,180.7,180.7,20962
1786075680,180.7,180.85,180.69,180.75,15646
1786075740,180.8,180.85,180.7,180.75,12591
1786075800,180.72,180.8,180.62,180.62,13139
1786075860,180.65,180.8,180.65,180.8,21409
1786075920,180.8,180.9,180.76,180.88,7746
1786075980,180.79,180.89,180.7,180.8,14934
1786076040,180.72,180.84,180.72,180.83,6881
1786076100,180.85,180.9,180.75,180.83,14314
1786076160,180.84,181.47,180.76,181.47,103908
1786076220,181.45,181.66,181.33,181.65,58818
1786076280,181.65,181.73,181.56,181.58,27946
1786076340,181.5,181.57,181.3,181.54,34071
1786076400,181.55,182.18,181.55,182.18,230530
1786076460,182.1,182.63,182.1,182.5,98745
1786076520,182.56,182.61,182.5,182.59,75036
1786076580,182.59,182.89,182.59,182.89,163949
1786076640,183.01,183.15,182.9,183.08,381932
1786076700,183.08,183.33,182.86,182.86,283122
1786076760,182.88,182.98,182.6,182.67,73132
1786076820,182.7,182.74,182.58,182.7,35465
1786076880,182.69,182.84,182.66,182.8,74374
1786076940,182.8,182.94,182.71,182.94,62762
1786077000,182.93,183.19,182.8,183.1,103446
1786077060,183.1,183.19,183.01,183.19,60051
1786077120,183.16,183.51,183.16,183.27,179306
1786077180,183.35,183.4,182.85,182.85,155367
1786077240,182.97,183.03,182.6,183.0,178508
1786077300,182.96,183.1,182.67,182.75,46823
1786077360,182.72,182.84,182.67,182.74,32374
1786077420,182.62,182.74,182.61,182.62,47090
1786077480,182.56,182.68,182.4,182.5,105268
1786077540,182.44,182.46,182.25,182.3,37629
1786077600,182.36,182.58,182.36,182.5,23037
1786077660,182.55,182.56,182.4,182.52,24227
1786077720,182.46,182.58,182.35,182.35,139484
1786077780,182.3,182.3,182.02,182.1,61964
1786077840,182.18,182.33,182.18,182.3,27903
1786077900,182.26,182.29,182.19,182.19,29626
1786077960,182.25,182.27,182.12,182.14,14583
1786078020,182.1,182.15,182.07,182.07,24853
1786078080,182.07,182.07,181.9,181.94,123722
1786078140,181.9,181.9,181.72,181.79,75533
1786078200,181.79,181.98,181.74,181.98,26330
1786078260,181.98,182.24,181.98,182.15,22180
1786078320,182.36,182.46,182.32,182.4,279756
1786078380,182.39,182.39,182.03,182.03,24933
1786078440,182.11,182.11,181.92,181.92,23414
1786078500,181.99,182.04,181.97,181.97,23949
1786078560,182.02,182.06,181.9,181.9,6209
1786078620,181.87,181.92,181.8,181.86,15592
1786078680,181.9,181.9,181.7,181.75,19166
1786078740,181.54,181.64,181.54,181.6,14673
1786078800,181.65,181.65,181.39,181.42,44099
1786078860,181.55,181.6,181.5,181.51,36732
1786078920,181.51,181.68,181.51,181.65,17618
1786078980,181.66,181.98,181.66,181.93,20375
1786079040,181.91,181.99,181.9,181.95,21846
1786079100,181.86,182.11,181.83,182.11,31408
1786079160,182.18,182.18,182.0,182.01,13922
1786079220,182.06,182.1,181.85,182.1,32909
1786079280,182.07,182.1,182.01,182.1,12696
1786079340,182.14,182.38,182.14,182.38,114499
1786079400,182.36,182.37,182.14,182.27,9317
1786079460,182.18,182.23,182.11,182.11,9505
1786079520,182.2,182.2,182.11,182.2,14552
1786079580,182.1,182.15,182.1,182.11,5671
1786079640,182.12,182.14,181.85,181.92,53197
1786079700,181.9,181.9,181.5,181.64,48862
1786079760,181.61,181.63,181.55,181.63,4280
1786079820,181.6,182.09,181.6,182.09,194007
1786079880,182.1,182.47,182.1,182.47,28750
1786079940,182.4,182.52,182.4,182.48,86421
1786080000,182.35,182.5,182.25,182.3,252621
1786080060,182.38,182.41,182.04,182.21,378006
1786080120,182.3,182.5,182.14,182.5,368229
1786080180,182.49,182.6,182.45,182.45,86627
1786080240,182.49,182.54,182.43,182.5,65954
1786080300,182.5,182.61,182.5,182.6,27621
1786080360,182.61,182.61,182.43,182.5,43765
1786080420,182.5,182.55,182.42,182.5,101446
1786080480,182.5,182.54,182.45,182.5,73035
1786080540,182.5,182.5,182.16,182.16,347701
1786080600,182.17,182.17,182.03,182.1,29553
1786080660,182.1,182.1,182.0,182.04,27922
1786080720,182.01,182.04,181.8,181.86,66785
1786080780,181.89,181.9,181.71,181.77,14998
1786080840,181.71,181.84,181.66,181.66,11856
1786080900,181.71,181.9,181.66,181.9,19089
1786080960,181.95,182.1,181.88,182.05,12373
1786081020,182.1,182.11,182.0,182.11,6208
1786081080,182.2,182.2,182.13,182.15,7827
1786081140,182.15,182.2,182.15,182.16,6545
1786081200,182.14,182.31,182.14,182.3,39285
1786081260,182.31,182.31,182.17,182.19,6818
1786081320,182.24,182.34,182.24,182.29,4387
1786081380,182.24,182.35,182.22,182.22,8783
1786081440,182.12,182.23,182.07,182.2,13705
1786081500,182.2,182.23,182.11,182.2,5021
1786081560,182.23,182.29,182.13,182.25,7998
1786081620,182.32,182.32,182.22,182.24,6294
1786081680,182.32,182.4,182.24,182.35,6818
1786081740,182.4,182.4,182.3,182.4,13831
1786081800,182.65,182.65,182.55,182.6,86855
1786081860,182.6,182.6,182.52,182.59,4616
1786081920,182.52,182.59,182.52,182.58,8708
1786081980,182.59,182.73,182.56,182.73,45712
1786082040,182.75,182.83,182.71,182.71,50801
1786082100,182.76,182.76,182.68,182.71,6571
1786082160,182.68,182.75,182.68,182.7,10740
1786082220,182.75,182.75,182.7,182.71,5653
1786082280,182.71,182.75,182.64,182.69,49215
1786082340,182.7,182.7,182.62,182.69,2233
1786082400,182.69,182.69,182.5,182.55,5180
1786082460,182.55,182.56,182.5,182.5,4250
1786082520,182.5,182.6,182.5,182.6,8432
1786082580,182.53,182.55,182.5,182.5,3146
1786082640,182.5,182.55,182.5,182.55,2329
1786082700,182.5,182.55,182.5,182.55,3600
1786082760,182.57,182.57,182.53,182.57,9055
1786082820,182.53,182.58,182.5,182.58,16003
1786082880,182.59,182.6,182.54,182.59,2903
1786082940,182.65,182.74,182.65,182.7,18390
1786083000,182.7,182.7,182.68,182.68,4912
1786083060,182.7,182.73,182.5,182.51,12575
1786083120,182.62,182.66,182.52,182.66,4051
1786083180,182.55,182.69,182.51,182.59,3997
1786083240,182.64,182.69,182.54,182.65,5441
1786083300,182.65,182.68,182.58,182.58,2254
1786083360,182.6,182.68,182.59,182.67,5595
1786083420,182.68,182.68,182.6,182.6,2487
1786083480,182.68,182.68,182.58,182.6,5163
1786083540,182.59,182.6,182.58,182.6,3489
1786083600,182.57,182.6,182.45,182.45,35780
1786083660,182.51,182.57,182.46,182.55,55048
1786083720,182.5,182.52,182.5,182.5,79358
1786083780,182.5,182.57,182.5,182.57,3261
1786083840,182.57,182.57,182.5,182.5,13747
1786083900,182.5,182.53,182.5,182.53,8645
1786083960,182.55,182.55,182.5,182.55,1558
