time,open,high,low,close,volume
1786074300,1273.8,1273.8,1265.1,1271.3,24904
1786074360,1271.6,1273.2,1270.7,1273.2,6035
1786074420,1274.0,1274.0,1271.0,1271.0,4152
1786074480,1271.0,1272.6,1270.5,1270.5,1553
1786074540,1270.4,1270.4,1266.2,1267.0,9772
1786074600,1267.8,1269.2,1267.8,1268.7,1551
1786074660,1268.9,1273.5,1268.4,1273.5,2218
1786074720,1273.0,1273.9,1272.2,1272.8,2011
1786074780,1273.9,1276.5,1273.1,1276.0,5892
1786074840,1276.0,1277.6,1275.6,1275.6,4621
1786074900,1276.1,1276.1,1274.7,1275.5,1782
1786074960,1275.5,1276.4,1275.4,1275.7,1142
1786075020,1275.4,1275.4,1273.7,1275.0,2805
1786075080,1275.7,1275.7,1274.7,1274.7,2969
1786075140,1274.4,1274.5,1271.6,1271.6,896
1786075200,1272.4,1276.4,1272.2,1276.4,4046
1786075260,1276.6,1276.6,1276.0,1276.1,1343
1786075320,1276.2,1276.3,1275.5,1275.5,1006
1786075380,1276.0,1276.0,1275.4,1275.4,2215
1786075440,1275.0,1275.7,1275.0,1275.4,699
1786075500,1275.0,1276.6,1275.0,1276.0,852
1786075560,1276.0,1276.6,1276.0,1276.6,518
1786075620,1277.0,1279.0,1277.0,1278.0,3744
1786075680,1279.0,1280.0,1278.2,1278.7,4584
1786075740,1280.0,1280.0,1279.0,1279.1,8841
1786075800,1279.8,1279.9,1278.0,1278.6,5993
1786075860,1279.1,1279.2,1278.3,1279.0,1908
1786075920,1278.9,1279.0,1278.7,1278.7,1927
1786075980,1278.5,1279.3,1278.5,1279.3,2092
1786076040,1279.3,1281.2,1279.3,1281.0,11005
1786076100,1281.5,1282.5,1281.5,1281.8,8278
1786076160,1281.5,1282.8,1281.5,1282.0,3226
1786076220,1281.7,1282.4,1280.7,1280.7,6677
1786076280,1280.7,1281.0,1280.2,1280.6,2421
1786076340,1280.6,1281.4,1280.2,1281.4,1119
1786076400,1281.1,1281.2,1280.4,1281.2,4142
1786076460,1281.2,1281.9,1281.2,1281.2,2714
1786076520,1281.2,1282.2,1281.2,1282.0,1607
1786076580,1282.2,1282.2,1282.0,1282.0,1148
1786076640,1282.4,1282.9,1282.1,1282.8,3105
1786076700,1282.8,1284.5,1282.5,1283.1,9805
1786076760,1283.4,1284.4,1283.2,1283.4,1387
1786076820,1284.0,1284.3,1283.5,1283.5,1723
1786076880,1283.2,1289.0,1283.2,1285.7,19181
1786076940,1285.4,1286.6,1284.0,1284.0,4303
1786077000,1284.4,1284.4,1283.3,1283.3,1787
1786077060,1283.3,1284.3,1282.6,1282.6,2571
1786077120,1283.0,1283.0,1281.8,1282.0,2136
1786077180,1282.4,1282.4,1281.9,1281.9,291
1786077240,1281.7,1282.3,1281.7,1282.3,1527
1786077300,1282.5,1283.5,1282.5,1283.0,602
1786077360,1283.5,1283.8,1283.5,1283.8,344
1786077420,1284.0,1284.0,1283.5,1283.6,519
1786077480,1284.4,1284.4,1283.5,1283.9,486
1786077540,1283.0,1283.7,1283.0,1283.6,692
1786077600,1283.7,1283.7,1282.6,1283.2,1426
1786077660,1282.6,1283.1,1282.2,1282.5,240
1786077720,1282.5,1283.2,1282.5,1283.2,417
1786077780,1283.3,1283.4,1282.5,1282.9,417
1786077840,1282.9,1283.0,1281.0,1281.1,2862
1786077900,1281.3,1281.4,1280.4,1280.4,1082
1786077960,1280.4,1281.5,1280.2,1281.4,1478
1786078020,1281.0,1281.4,1280.5,1280.7,1663
1786078080,1280.6,1280.7,1280.0,1280.6,1213
1786078140,1280.6,1280.7,1279.2,1279.4,1853
1786078200,1279.2,1279.8,1279.1,1279.8,529
1786078260,1279.2,1279.8,1279.1,1279.1,322
1786078320,1279.0,1279.7,1279.0,1279.0,133
1786078380,1279.2,1279.2,1278.5,1278.5,256
1786078440,1278.9,1279.4,1278.4,1278.9,5223
1786078500,1278.5,1279.0,1278.5,1279.0,472
1786078560,1278.5,1279.9,1278.5,1279.1,1341
1786078620,1278.8,1279.3,1278.8,1278.8,593
1786078680,1278.8,1278.9,1278.4,1278.4,531
1786078740,1278.8,1278.9,1278.3,1278.4,249
1786078800,1278.4,1278.4,1276.9,1277.1,2533
1786078860,1277.5,1277.5,1276.0,1276.6,2141
1786078920,1276.0,1276.6,1275.8,1276.6,397
