time,open,high,low,close,volume
1786074300,573.45,574.15,571.5,573.25,60037
1786074360,573.75,573.75,571.65,571.65,9201
1786074420,571.9,574.55,571.9,574.2,23834
1786074480,574.45,575.0,574.0,574.0,13667
1786074540,574.0,574.05,573.5,573.5,4637
1786074600,573.45,573.55,573.0,573.0,6572
1786074660,573.25,573.7,573.25,573.7,2368
1786074720,573.7,574.65,573.5,574.65,9771
1786074780,574.6,574.6,573.0,573.3,12650
1786074840,573.1,573.3,573.05,573.05,3932
1786074900,573.3,573.5,573.1,573.5,2875
1786074960,573.45,573.45,573.2,573.2,965
1786075020,573.15,573.4,573.1,573.4,6990
1786075080,573.15,573.55,572.45,572.45,13057
1786075140,572.25,572.25,571.3,571.3,11103
1786075200,571.3,572.05,571.3,572.0,4493
1786075260,572.05,572.05,571.1,571.25,7939
1786075320,571.45,571.65,571.2,571.65,1925
1786075380,571.65,571.65,571.25,571.4,5483
1786075440,571.2,571.7,571.2,571.7,5117
1786075500,571.45,571.7,571.4,571.6,3772
1786075560,571.5,572.25,571.5,572.05,5341
1786075620,572.05,572.05,571.6,571.6,2533
1786075680,571.5,571.65,571.5,571.65,979
1786075740,571.6,571.85,571.6,571.6,2259
1786075800,571.6,571.6,571.5,571.55,1053
1786075860,571.55,571.55,571.45,571.55,1665
1786075920,571.55,571.7,571.55,571.7,3618
1786075980,571.7,571.7,571.2,571.4,4370
1786076040,571.4,571.7,571.1,571.7,2977
1786076100,572.2,572.5,571.6,571.6,5984
1786076160,571.8,571.8,571.05,571.45,7345
1786076220,571.45,571.45,571.1,571.1,1198
1786076280,571.1,571.7,571.1,571.35,5848
1786076340,571.65,572.0,571.55,572.0,4128
1786076400,571.95,571.95,571.6,571.6,1458
1786076460,571.6,572.3,571.6,572.15,7071
1786076520,571.85,571.85,571.7,571.7,840
1786076580,571.85,571.85,571.5,571.5,1865
1786076640,571.6,572.0,571.5,572.0,3323
1786076700,572.0,572.1,571.9,572.1,2459
1786076760,572.0,572.0,571.55,571.55,998
1786076820,571.7,572.1,571.7,572.1,9389
1786076880,571.85,571.85,571.5,571.75,1575
1786076940,571.75,571.75,571.7,571.7,53
1786077000,571.7,571.7,571.5,571.5,666
1786077060,571.65,571.65,571.5,571.65,1123
1786077120,571.5,571.75,571.15,571.15,5922
1786077180,571.3,571.55,571.15,571.35,1130
1786077240,571.5,571.5,571.2,571.5,2234
1786077300,571.4,571.5,571.25,571.5,353
1786077360,571.3,571.7,571.25,571.3,2553
1786077420,571.55,571.9,571.4,571.6,1827
1786077480,571.85,572.35,571.6,572.1,4813
1786077540,571.85,571.85,571.5,571.6,1842
1786077600,571.6,572.0,571.05,572.0,12030
1786077660,571.75,571.9,571.5,571.5,972
1786077720,571.5,571.65,571.5,571.6,271
1786077780,571.5,571.5,571.2,571.25,2638
1786077840,571.25,571.55,571.1,571.45,1918
1786077900,571.45,571.45,571.2,571.4,1153
1786077960,571.25,571.35,571.2,571.35,146
1786078020,571.2,571.35,571.2,571.35,6257
1786078080,571.55,571.75,571.25,571.5,884
1786078140,571.3,571.5,571.2,571.3,610
1786078200,571.3,572.0,571.3,572.0,2907
1786078260,572.1,572.25,571.8,571.95,804
1786078320,571.75,571.95,571.75,571.75,314
1786078380,571.5,571.7,571.35,571.35,2691
1786078440,571.6,571.65,571.45,571.6,274
1786078500,571.45,571.6,571.3,571.3,613
1786078560,571.3,571.4,571.25,571.4,607
1786078620,571.3,571.35,571.1,571.1,1978
1786078680,571.1,571.2,571.1,571.2,946
1786078740,571.2,571.2,571.1,571.2,318
1786078800,571.1,571.2,571.1,571.1,2097
1786078860,571.1,571.3,571.1,571.3,2164
1786078920,571.25,571.3,571.25,571.25,227
1786078980,571.3,571.3,571.05,571.3,2949
1786079040,571.1,571.3,571.1,571.3,290
1786079100,571.1,571.3,571.1,571.3,455
1786079160,571.3,571.45,571.1,571.45,1525
1786079220,571.3,571.5,571.3,571.5,241
1786079280,571.3,572.55,571.3,572.25,3108
1786079340,572.15,573.2,572.15,573.2,2680
1786079400,573.3,573.35,573.2,573.3,2180
1786079460,573.25,573.3,573.2,573.3,1140
1786079520,573.2,573.2,573.0,573.0,1156
1786079580,573.0,574.5,573.0,574.15,9122
1786079640,574.15,574.15,573.55,573.7,4653
1786079700,573.55,573.65,573.45,573.65,4251
1786079760,573.9,574.0,573.45,573.8,2078
1786079820,573.7,573.8,573.55,573.8,119
1786079880,573.55,573.75,573.55,573.6,208
1786079940,573.6,573.75,573.5,573.5,1022
1786080000,573.2,573.5,573.2,573.5,2439
1786080060,573.35,573.35,572.5,572.9,2293
1786080120,572.9,572.9,572.4,572.55,625
1786080180,572.55,572.9,572.55,572.6,271
1786080240,572.6,572.95,572.55,572.95,2768
1786080300,572.65,573.1,572.65,573.1,624
1786080360,573.0,573.2,572.9,572.9,1483
1786080420,573.0,573.2,573.0,573.2,459
1786080480,573.0,573.05,572.7,573.0,1091
1786080540,573.0,573.55,572.95,573.0,3328
1786080600,573.0,573.0,572.7,572.95,287
1786080660,572.95,573.0,572.95,573.0,185
1786080720,572.95,573.75,572.8,573.75,3113
1786080780,573.45,573.95,572.8,573.1,4804
1786080840,573.2,573.3,573.0,573.25,1226
1786080900,573.25,573.25,573.0,573.2,40
1786080960,573.0,573.5,573.0,573.15,4983
1786081020,573.4,573.4,573.0,573.25,269
1786081080,573.05,573.25,573.05,573.25,638
1786081140,573.25,573.25,573.1,573.1,970
1786081200,573.1,573.25,573.1,573.15,1668
1786081260,573.15,573.25,573.15,573.25,314
1786081320,573.05,573.25,573.0,573.0,584
1786081380,573.25,573.3,572.9,572.9,858
1786081440,573.2,573.2,572.9,573.2,687
1786081500,573.0,573.25,573.0,573.25,1485
1786081560,573.1,573.25,573.05,573.05,180
1786081620,573.05,573.15,573.05,573.15,469
1786081680,573.05,573.7,573.05,573.65,1949
1786081740,573.5,573.5,573.15,573.15,346
1786081800,573.15,573.4,573.15,573.25,2117
1786081860,573.25,573.45,573.25,573.45,189
1786081920,573.45,573.5,573.45,573.45,136
1786081980,573.45,573.45,573.35,573.35,728
1786082040,573.35,573.4,573.25,573.35,584
1786082100,573.25,573.9,573.25,573.9,2089
1786082160,573.65,573.9,573.65,573.75,157
1786082220,573.75,574.15,573.75,574.15,1337
1786082280,574.1,574.2,574.0,574.0,1010
1786082340,573.85,574.0,573.85,574.0,216
1786082400,573.85,573.85,573.15,573.4,810
1786082460,573.7,573.9,573.5,573.9,722
1786082520,573.9,574.1,573.65,574.1,457
1786082580,574.0,574.1,573.75,573.75,1100
1786082640,574.0,574.0,573.7,573.75,1850
1786082700,574.0,574.2,574.0,574.2,1418
1786082760,574.2,574.2,573.75,573.75,231
1786082820,573.75,573.75,573.55,573.65,3265
1786082880,573.75,573.75,573.5,573.75,541
1786082940,573.6,573.75,573.3,573.55,1189
1786083000,573.55,573.55,573.15,573.35,1213
1786083060,573.15,573.25,573.05,573.25,257
1786083120,573.1,573.1,573.0,573.0,821
1786083180,573.2,573.25,573.0,573.0,1430
1786083240,573.0,573.35,573.0,573.3,1466
1786083300,573.25,573.25,572.8,572.8,519
1786083360,573.15,573.7,573.0,573.4,1447
1786083420,573.65,573.95,573.65,573.65,851
1786083480,573.4,573.45,573.1,573.15,727
1786083540,573.05,573.3,572.7,572.7,2687
1786083600,572.95,572.95,572.65,572.65,243
1786083660,572.5,572.75,572.0,572.0,4590
1786083720,572.25,572.3,572.1,572.25,461
1786083780,572.25,572.3,572.1,572.3,1216
1786083840,572.25,572.55,572.25,572.55,2875
1786083900,572.25,572.75,572.25,572.75,547
1786083960,572.85,573.0,572.8,573.0,112
1786084020,572.8,572.8,572.8,572.8,132
1786084080,572.8,573.0,572.8,573.0,244
1786084140,572.8,573.0,572.8,573.0,450
1786084200,572.8,572.8,572.7,572.7,203
1786084260,572.7,572.7,572.65,572.65,347
1786084320,572.65,572.9,572.65,572.75,94
1786084380,572.65,572.65,572.5,572.5,942
1786084440,572.5,572.55,572.5,572.55,503
1786084500,572.4,572.4,572.25,572.25,42
1786084560,572.25,572.3,572.2,572.25,881
1786084620,572.2,572.25,572.15,572.25,1349
1786084680,572.2,572.25,572.2,572.2,663
1786084740,572.2,572.35,572.2,572.35,304
1786084800,572.25,572.35,572.2,572.2,252
1786084860,572.2,572.3,572.1,572.3,420
1786084920,572.3,572.3,572.1,572.1,520
1786084980,572.1,572.25,572.1,572.2,1587
1786085040,572.2,572.7,572.2,572.7,1701
1786085100,572.55,572.7,572.5,572.7,1550
1786085160,572.5,572.55,572.5,572.55,545
1786085220,572.5,572.55,572.5,572.55,126
1786085280,572.5,572.5,572.15,572.3,2379
1786085340,572.3,572.3,572.2,572.2,1211
1786085400,572.2,572.25,572.15,572.15,413
1786085460,572.15,572.95,572.15,572.85,4900
1786085520,572.85,572.85,572.5,572.5,1079
1786085580,572.0,572.45,572.0,572.45,7885
1786085640,572.25,572.35,572.25,572.25,138
1786085700,572.25,572.35,572.0,572.1,1373
1786085760,572.1,572.35,570.7,571.55,38823
1786085820,571.8,572.1,571.5,571.85,812
1786085880,571.55,571.85,571.55,571.65,588
1786085940,571.6,571.9,571.5,571.75,102
1786086000,571.75,571.75,571.2,571.5,2009
1786086060,571.3,571.5,571.3,571.5,284
1786086120,571.3,571.5,571.3,571.45,250
1786086180,571.3,571.6,571.3,571.6,1093
1786086240,571.5,571.6,571.5,571.5,186
1786086300,571.6,571.65,571.55,571.65,738
1786086360,571.55,571.7,571.4,571.4,273
1786086420,571.6,571.7,571.6,571.7,270
1786086480,571.65,571.7,571.6,571.7,451
1786086540,571.7,571.7,571.65,571.65,31
1786086600,571.7,572.0,571.65,571.85,2609
1786086660,571.85,572.35,571.85,572.35,1488
1786086720,572.25,572.35,572.25,572.35,114
1786086780,572.3,572.4,572.3,572.3,1449
1786086840,572.25,572.3,572.0,572.25,1005
