time,open,high,low,close,volume
1786074300,273.8,276.9,273.8,276.7,167583
1786074360,276.5,276.5,274.1,274.1,156654
1786074420,274.4,274.65,274.2,274.5,80402
1786074480,274.55,274.75,274.5,274.75,46588
1786074540,275.0,275.4,274.9,275.2,61805
1786074600,275.2,275.35,274.85,274.85,74557
1786074660,274.9,275.0,274.85,274.9,35329
1786074720,275.0,275.0,274.75,274.8,32253
1786074780,274.8,274.8,274.15,274.15,56410
1786074840,274.1,274.3,274.05,274.3,32554
1786074900,274.2,274.5,274.2,274.5,27354
1786074960,274.5,274.5,274.05,274.05,69815
1786075020,274.05,274.05,273.7,274.0,57930
1786075080,274.0,274.0,273.9,273.95,21558
1786075140,273.85,274.0,273.55,273.7,82666
1786075200,273.7,273.7,273.6,273.6,14540
1786075260,273.7,273.8,273.7,273.8,31952
1786075320,273.7,274.3,273.7,274.0,49480
1786075380,274.2,274.2,274.1,274.1,16718
1786075440,274.1,274.1,273.85,274.0,59851
1786075500,273.85,274.0,273.85,273.85,32820
1786075560,273.8,274.0,273.75,274.0,37685
1786075620,274.0,274.0,273.75,273.75,45157
1786075680,273.85,273.95,273.65,273.95,69149
1786075740,273.95,274.45,273.95,274.35,33841
1786075800,274.45,274.8,274.45,274.7,22366
1786075860,274.7,274.75,274.55,274.55,16483
1786075920,274.6,274.8,274.6,274.75,26169
1786075980,274.75,274.85,274.2,274.2,43115
1786076040,274.15,274.45,274.05,274.3,20985
1786076100,274.35,274.65,274.35,274.45,11914
1786076160,274.4,274.5,274.4,274.45,14766
1786076220,274.45,274.45,274.25,274.25,9160
1786076280,274.3,274.3,274.2,274.2,10092
1786076340,274.15,274.15,273.8,273.9,41719
1786076400,273.85,273.85,273.75,273.85,9708
1786076460,273.85,274.45,273.85,274.45,20536
1786076520,274.4,274.4,274.25,274.3,5669
1786076580,274.3,274.4,274.25,274.3,18386
1786076640,274.35,274.4,274.25,274.35,9946
1786076700,274.35,274.6,274.35,274.6,26480
1786076760,274.7,274.7,274.55,274.6,9160
1786076820,274.5,274.6,274.45,274.45,23456
1786076880,274.4,274.4,274.25,274.3,10005
1786076940,274.25,274.3,274.25,274.3,7852
1786077000,274.3,274.35,274.3,274.35,7897
1786077060,274.3,274.55,274.05,274.55,24090
1786077120,274.5,274.65,274.4,274.4,15337
1786077180,274.4,274.55,274.35,274.35,11798
1786077240,274.5,274.5,274.25,274.25,4604
1786077300,274.35,274.35,274.15,274.15,6903
1786077360,274.25,274.4,274.15,274.3,4575
1786077420,274.3,274.3,274.1,274.3,6915
1786077480,274.3,274.3,274.1,274.2,7651
1786077540,274.2,274.25,274.2,274.25,3636
1786077600,274.25,274.25,274.1,274.25,6496
1786077660,274.25,274.25,274.15,274.2,4125
1786077720,274.2,274.2,274.05,274.1,8984
1786077780,274.05,274.2,274.0,274.0,33633
1786077840,274.1,274.15,274.0,274.05,7520
1786077900,274.1,274.1,274.0,274.0,6798
1786077960,274.0,274.05,273.9,274.0,8417
1786078020,274.0,274.2,274.0,274.15,33596
1786078080,274.15,274.2,274.05,274.05,12848
1786078140,274.0,274.2,273.95,274.1,9515
1786078200,274.1,274.25,274.0,274.25,8766
1786078260,274.25,274.5,274.25,274.45,13089
1786078320,274.4,274.45,274.25,274.3,5617
1786078380,274.3,274.3,274.25,274.25,6643
1786078440,274.25,274.3,274.1,274.3,10140
1786078500,274.3,274.45,274.3,274.3,6118
1786078560,274.4,274.4,274.2,274.3,10523
1786078620,274.3,274.3,274.05,274.15,9662
1786078680,274.1,274.1,274.0,274.0,7116
1786078740,273.95,274.25,273.95,274.1,9388
1786078800,274.2,274.2,274.05,274.2,13872
1786078860,274.3,274.4,274.15,274.15,5926
1786078920,274.1,274.25,274.1,274.15,5391
1786078980,274.15,274.45,274.15,274.45,7267
1786079040,274.45,274.45,274.3,274.3,6644
1786079100,274.3,274.3,274.15,274.3,5880
1786079160,274.3,274.3,274.2,274.3,5001
1786079220,274.3,274.3,274.2,274.25,6614
1786079280,274.15,274.45,274.15,274.45,11126
1786079340,274.45,274.55,274.45,274.55,7918
1786079400,274.45,274.55,274.45,274.45,7724
1786079460,274.45,274.55,274.45,274.55,7328
1786079520,274.5,274.65,274.5,274.65,14306
1786079580,274.65,274.8,274.65,274.65,19421
1786079640,274.6,274.75,274.55,274.65,12544
1786079700,274.7,274.7,274.4,274.5,6536
1786079760,274.5,274.5,274.25,274.4,12255
1786079820,274.4,274.4,274.2,274.2,4566
