time,open,high,low,close,volume
1786074300,813.9,816.55,810.95,813.4,600
1786074360,811.0,812.6,811.0,812.6,201
1786074420,810.55,810.55,809.75,809.75,207
1786074480,809.75,809.75,807.1,808.2,184
1786074540,809.65,809.65,808.0,809.0,544
1786074600,808.65,808.65,808.65,808.65,2
1786074660,808.4,808.55,808.4,808.55,3
1786074720,808.95,811.55,808.95,811.55,1013
1786074780,811.45,811.75,811.45,811.75,119
1786074900,811.7,811.7,810.5,810.5,135
1786074960,810.5,811.45,810.5,811.45,30
1786075020,810.5,810.5,808.9,808.9,70
1786075080,808.8,809.4,808.8,809.35,18
1786075140,809.0,809.0,808.0,808.0,128
1786075200,807.0,808.3,807.0,808.3,812
1786075320,808.1,809.0,808.1,808.55,45
1786075380,808.7,808.7,808.0,808.0,633
1786075440,808.0,808.0,808.0,808.0,68
1786075500,808.55,808.55,808.0,808.0,4
1786075560,808.55,808.55,808.0,808.0,765
1786075620,808.0,808.0,808.0,808.0,267
1786075680,807.05,807.05,807.0,807.0,500
1786075740,807.0,807.0,803.3,804.45,661
1786075800,804.15,804.6,804.15,804.6,105
1786075860,804.9,804.9,804.9,804.9,68
1786075920,804.0,804.65,804.0,804.65,56
1786075980,804.0,804.0,804.0,804.0,69
1786076040,804.6,804.65,804.05,804.05,7
1786076100,805.9,808.8,805.9,808.8,974
1786076160,809.0,811.95,809.0,811.95,297
1786076220,810.95,812.5,810.95,812.5,154
1786076280,812.5,814.55,812.5,814.5,299
1786076340,816.0,817.4,816.0,817.4,1024
1786076400,818.85,819.15,817.45,819.15,675
1786076460,819.8,819.8,817.75,819.0,244
1786076520,817.75,819.05,817.75,819.05,1004
1786076580,818.4,818.4,813.15,813.15,2520
1786076640,813.2,813.75,811.7,813.75,791
1786076700,813.95,813.95,812.0,812.0,329
1786076760,811.75,811.75,811.0,811.4,381
1786076820,811.3,813.85,811.3,813.85,953
1786076880,812.8,812.8,812.8,812.8,53
1786076940,811.4,811.4,810.05,810.15,312
1786077000,810.85,811.2,809.6,811.2,3399
1786077060,810.2,812.15,810.2,812.15,31
1786077120,812.75,812.75,812.75,812.75,10
1786077180,811.9,811.9,811.9,811.9,58
1786077300,811.15,811.15,811.15,811.15,1
1786077360,811.0,811.0,810.7,810.7,110
1786077420,811.8,812.45,811.8,811.85,289
1786077480,813.1,813.1,813.1,813.1,809
1786077540,813.7,813.7,813.7,813.7,1
1786077600,813.1,813.15,813.1,813.15,6
1786077660,813.0,813.0,813.0,813.0,8
1786077840,811.55,812.7,811.55,812.7,349
1786077900,812.0,812.0,812.0,812.0,1
1786077960,811.8,811.8,811.8,811.8,42
1786078020,812.75,812.75,812.75,812.75,1
1786078140,812.5,812.5,811.5,811.5,46
1786078260,812.25,812.25,812.25,812.25,43
1786078320,811.0,812.05,811.0,811.9,864
1786078380,812.0,812.0,812.0,812.0,30
1786078440,811.95,811.95,811.95,811.95,16
1786078500,812.0,812.0,812.0,812.0,50
1786078560,811.55,811.55,811.55,811.55,194
1786078740,811.8,811.8,811.8,811.8,3
1786078800,812.1,812.1,812.1,812.1,108
1786078860,811.5,811.5,811.5,811.5,1
1786078920,810.1,810.1,810.1,810.1,48
1786079040,811.05,811.05,811.05,811.05,2
1786079100,811.05,811.1,811.05,811.1,5
1786079280,810.75,810.75,810.25,810.25,13
1786079340,811.3,811.5,811.3,811.5,68
1786079400,811.5,811.5,811.5,811.5,1
1786079580,811.5,811.5,811.5,811.5,40
1786079640,811.5,811.5,810.65,810.65,19
1786079700,810.55,810.55,810.55,810.55,3
1786079760,810.55,812.1,810.55,812.1,178
1786079820,812.1,813.25,812.1,813.25,69
1786079940,814.5,816.4,814.5,815.0,455
1786080000,815.0,815.0,815.0,815.0,801
1786080060,813.35,813.35,813.1,813.1,151
1786080120,813.2,813.2,813.15,813.15,9
1786080180,812.75,813.1,812.75,813.1,86
1786080240,813.5,813.5,813.5,813.5,50
1786080300,814.0,814.0,814.0,814.0,5
1786080360,814.0,814.0,814.0,814.0,40
1786080420,814.2,814.2,814.2,814.2,8
1786080480,814.5,814.5,814.5,814.5,71
1786080540,815.0,815.0,814.8,814.8,95
1786080660,814.75,814.75,814.75,814.75,63
1786080720,815.0,815.0,815.0,815.0,177
1786080780,813.6,813.6,813.6,813.6,6
1786080840,813.05,813.05,813.05,813.05,9
1786080960,812.15,812.15,812.0,812.0,530
1786081080,812.15,812.15,812.15,812.15,50
1786081140,812.25,812.25,812.25,812.25,5
