time,open,high,low,close,volume
1786074300,602.2,603.45,601.75,603.2,2740
1786074360,602.9,603.95,602.9,603.0,680
1786074420,603.75,604.8,603.75,604.75,589
1786074480,604.0,604.15,604.0,604.15,1714
1786074540,604.15,604.55,604.15,604.55,550
1786074600,604.9,606.0,604.9,606.0,445
1786074660,606.85,606.85,605.6,605.6,295
1786074720,605.8,607.0,605.8,605.85,1710
1786074780,606.95,606.95,606.5,606.5,128
1786074840,606.0,606.0,606.0,606.0,22
1786074900,606.2,606.2,605.0,605.25,101
1786074960,606.0,606.0,605.2,605.95,481
1786075020,605.05,605.85,605.0,605.85,201
1786075080,605.1,605.85,605.1,605.1,30
1786075140,605.8,605.8,605.15,605.15,8
1786075200,605.8,606.4,605.5,606.4,460
1786075260,605.55,605.55,604.6,604.6,1029
1786075320,605.6,606.1,605.15,605.15,151
1786075380,605.6,605.9,604.95,605.1,749
1786075440,605.15,605.15,604.35,604.35,221
1786075500,604.3,605.0,604.3,605.0,76
1786075560,605.25,605.25,605.25,605.25,50
1786075620,604.35,604.7,603.95,603.95,260
1786075680,604.0,604.0,603.6,603.6,48
1786075740,603.4,603.85,603.4,603.85,60
1786075800,604.1,604.1,603.5,603.55,143
1786075860,603.55,603.55,603.55,603.55,25
1786075920,604.0,604.2,604.0,604.0,393
1786075980,604.35,604.4,604.35,604.4,60
1786076040,605.35,606.3,605.35,606.05,1808
1786076100,608.05,608.75,606.6,608.45,4266
1786076160,608.0,608.45,607.8,607.8,311
1786076220,608.0,608.0,607.75,607.75,1161
1786076280,607.65,607.65,607.6,607.6,207
1786076340,607.95,607.95,607.95,607.95,265
1786076400,607.65,607.85,607.65,607.85,11
1786076460,607.85,607.85,607.55,607.55,61
1786076520,608.0,608.0,607.95,607.95,1528
1786076580,607.95,608.0,607.95,607.95,203
1786076700,607.45,607.45,607.35,607.35,107
1786076760,607.85,607.85,607.3,607.8,429
1786076820,607.35,607.95,607.35,607.4,134
1786076880,607.45,608.0,607.45,608.0,178
1786076940,608.0,608.0,608.0,608.0,32
1786077000,608.0,608.45,608.0,608.45,188
1786077060,608.45,608.45,608.45,608.45,71
1786077120,608.45,611.5,608.45,611.5,6222
1786077180,611.35,611.4,609.35,609.35,998
1786077240,609.65,610.05,609.65,610.0,261
1786077300,609.5,609.8,609.35,609.8,304
1786077360,609.85,609.85,609.35,609.4,55
1786077420,609.95,610.7,609.95,610.25,1029
1786077480,610.25,611.8,610.2,611.8,1171
1786077540,611.65,611.95,611.2,611.2,910
1786077600,611.2,611.75,611.2,611.75,580
1786077660,611.0,612.2,611.0,611.95,2080
1786077720,612.05,612.05,611.4,612.0,210
1786077780,611.95,611.95,611.85,611.85,132
1786077840,611.5,612.0,611.5,611.55,361
1786077900,611.5,612.2,611.35,611.35,6361
1786077960,610.9,615.3,610.9,613.75,12381
1786078020,613.85,614.5,612.75,612.95,2888
1786078080,612.55,612.55,611.5,611.65,1048
1786078140,612.2,612.2,611.0,611.2,871
1786078200,611.35,611.35,610.85,610.85,889
1786078260,610.85,611.0,610.1,611.0,575
1786078320,611.0,611.0,609.7,609.7,6706
1786078380,610.5,610.5,610.5,610.5,300
1786078440,610.3,610.3,609.5,609.8,1171
1786078500,609.4,610.0,609.25,610.0,275
1786078560,610.05,610.05,610.0,610.0,78
1786078620,609.95,609.95,609.95,609.95,125
1786078680,609.95,611.0,609.95,610.9,796
1786078740,610.9,610.9,610.9,610.9,55
1786078800,610.8,610.85,610.6,610.85,60
1786078860,610.9,611.0,610.9,611.0,127
1786078920,610.4,610.75,610.15,610.75,324
1786078980,609.95,609.95,609.95,609.95,249
1786079040,609.9,609.9,609.85,609.85,71
1786079100,609.85,609.85,609.35,609.35,87
1786079160,609.65,609.95,609.35,609.65,3776
1786079220,609.25,609.65,609.25,609.65,49
1786079280,609.8,609.85,609.8,609.85,53
1786079340,609.8,610.0,609.7,610.0,293
1786079460,610.4,610.65,610.4,610.45,33
1786079520,610.45,610.45,610.45,610.45,15
1786079580,611.05,611.3,610.6,611.3,617
1786079640,610.8,611.55,610.8,611.55,60
1786079700,611.2,611.6,611.0,611.0,577
1786079760,611.05,611.05,611.0,611.0,15
1786079820,611.0,611.0,611.0,611.0,26
1786079880,611.2,611.2,611.2,611.2,481
1786079940,611.05,611.05,611.0,611.0,266
1786080000,611.0,611.35,611.0,611.35,66
1786080060,611.3,611.8,611.0,611.8,623
1786080120,611.45,611.55,611.0,611.0,200
1786080180,611.45,611.55,611.45,611.55,24
1786080240,611.55,612.0,611.55,612.0,260
1786080300,613.65,613.95,610.3,611.0,5178
1786080360,611.0,611.7,610.9,611.1,1355
1786080420,611.05,611.05,610.5,610.5,1077
1786080480,609.85,609.85,609.85,609.85,1889
1786080540,610.3,610.3,609.55,609.95,53
1786080600,610.0,610.0,610.0,610.0,100
1786080660,610.0,610.0,609.55,609.55,55
1786080720,609.7,609.7,608.2,608.2,1794
1786080780,608.0,608.6,608.0,608.6,392
1786080840,608.15,608.15,606.15,606.15,1499
1786080900,606.6,606.6,606.6,606.6,51
