time,open,high,low,close,volume
1786074300,826.0,826.3,821.05,825.0,6702
1786074360,824.0,826.55,824.0,825.35,3401
1786074420,829.45,832.0,828.15,831.95,3468
1786074480,831.2,834.6,831.2,833.75,3106
1786074540,834.0,834.0,830.0,830.0,3574
1786074600,830.0,830.4,830.0,830.0,854
1786074660,830.0,832.8,830.0,832.8,2166
1786074720,833.2,835.55,833.2,834.75,8416
1786074780,835.0,836.85,835.0,835.25,3718
1786074840,835.4,835.4,833.85,834.25,9079
1786074900,835.05,838.85,834.3,837.2,16662
1786074960,837.1,837.25,836.1,836.3,9839
1786075020,837.0,837.55,836.2,836.2,1027
1786075080,835.85,835.85,833.35,833.45,617
1786075140,833.85,833.85,832.2,832.95,880
1786075200,832.0,832.65,831.95,831.95,111
1786075260,831.45,831.45,830.7,830.7,444
1786075320,830.7,830.95,830.2,830.2,959
1786075380,830.95,830.95,828.65,828.65,912
1786075440,828.65,837.0,828.65,837.0,6405
1786075500,837.7,837.75,837.05,837.05,1371
1786075560,837.45,840.0,837.4,838.8,29885
1786075620,836.25,836.8,835.55,835.55,1121
1786075680,834.7,834.7,833.9,834.55,612
1786075740,834.4,834.4,831.7,831.8,3303
1786075800,831.95,831.95,831.45,831.45,1033
1786075860,832.5,832.5,831.35,831.35,1550
1786075920,831.6,831.6,830.6,830.6,419
1786075980,830.95,830.95,830.15,830.5,347
1786076040,830.5,830.65,829.05,829.55,1874
1786076100,829.25,829.55,828.65,828.7,168
1786076160,828.7,828.7,828.7,828.7,10
1786076220,828.95,829.65,828.95,829.05,58
1786076280,829.0,829.0,826.85,826.85,1038
1786076340,828.35,828.35,825.0,826.7,5753
1786076400,826.4,826.65,826.0,826.05,216
1786076460,826.05,826.95,826.0,826.35,362
1786076520,825.7,826.35,825.65,825.65,578
1786076580,824.55,824.55,822.95,824.0,3222
1786076640,824.0,824.0,823.3,823.95,77
1786076700,823.95,823.95,822.7,822.7,326
1786076760,823.35,823.35,821.55,821.55,435
1786076820,822.0,822.85,822.0,822.3,98
1786076880,823.15,823.15,822.3,822.35,105
1786076940,822.55,823.0,821.95,821.95,3189
1786077000,822.0,822.2,821.15,821.15,774
1786077060,821.75,821.75,821.1,821.2,89
1786077120,821.15,821.9,818.85,818.85,2377
1786077180,818.35,820.05,818.35,819.5,1367
1786077240,818.9,824.6,818.55,823.9,3642
1786077300,822.3,827.7,822.3,827.65,4651
1786077360,828.3,828.8,827.4,828.4,1622
1786077420,828.5,828.8,827.8,827.9,706
1786077480,828.0,829.0,828.0,829.0,317
1786077540,828.65,828.65,828.05,828.05,209
1786077600,827.75,827.75,826.8,826.85,430
1786077660,827.0,827.4,826.95,827.1,122
1786077720,827.45,827.45,826.95,826.95,622
1786077780,826.45,826.45,826.05,826.05,91
1786077840,826.0,826.1,826.0,826.05,260
1786077900,825.15,825.7,825.0,825.0,2300
1786077960,825.0,826.4,824.9,826.4,6560
1786078020,827.4,827.4,826.85,826.85,54
1786078080,826.85,826.85,826.0,826.0,62
1786078140,825.25,825.25,824.85,825.25,316
1786078200,825.7,825.8,824.8,825.8,316
1786078260,824.85,824.95,824.85,824.95,221
1786078320,825.1,825.8,825.1,825.8,194
1786078380,825.3,826.1,825.25,826.1,264
1786078440,826.45,826.95,826.15,826.15,194
1786078500,826.2,826.2,826.1,826.1,43
1786078560,826.05,826.25,826.05,826.25,63
1786078680,826.25,826.85,824.7,825.15,516
1786078740,824.7,825.0,824.7,825.0,126
1786078800,825.0,825.7,825.0,825.65,164
1786078860,825.65,825.7,825.0,825.0,304
1786078920,825.0,825.7,825.0,825.05,89
1786078980,826.85,829.0,826.85,828.25,1200
1786079040,828.25,828.35,828.25,828.35,207
1786079100,828.4,829.75,828.4,829.5,342
1786079160,828.4,829.1,828.35,829.1,629
1786079220,828.35,828.35,827.8,827.8,99
1786079280,827.2,828.3,827.2,828.3,377
1786079340,828.4,829.1,828.35,829.1,440
1786079400,829.1,829.3,829.1,829.3,43
1786079460,829.2,829.2,828.8,828.8,138
1786079520,828.3,828.8,828.0,828.15,84
1786079580,828.8,828.8,828.05,828.1,75
1786079640,828.6,828.95,828.3,828.3,114
1786079700,828.05,828.75,828.05,828.75,66
1786079760,829.0,829.05,828.0,828.0,332
1786079820,828.15,828.9,828.15,828.25,66
1786079880,828.1,829.05,828.1,828.85,138
1786079940,828.75,828.75,828.2,828.6,109
1786080000,828.55,828.55,828.0,828.1,50
1786080060,827.45,828.05,827.25,827.25,9
1786080120,827.0,827.0,827.0,827.0,1
1786080180,827.0,827.0,827.0,827.0,110
1786080240,827.15,827.4,827.15,827.4,16
1786080300,827.4,828.4,827.4,828.25,662
1786080420,828.25,828.25,828.25,828.25,8
1786080480,828.25,828.25,827.7,828.0,180
1786080540,828.05,828.05,828.05,828.05,1
1786080600,828.05,828.45,828.0,828.0,63
1786080660,828.4,828.4,828.4,828.4,2
1786080720,828.0,828.0,827.65,827.65,85
1786080780,828.35,828.35,827.8,827.8,34
1786080840,827.4,827.4,827.1,827.1,37
1786080900,827.2,827.55,827.2,827.55,2
1786080960,826.9,826.9,826.85,826.85,173
1786081020,826.8,826.8,826.8,826.8,1
1786081140,826.8,827.2,826.8,827.2,9
1786081200,826.7,826.75,826.7,826.75,136
1786081260,827.2,827.2,827.2,827.2,5
1786081320,827.2,827.2,826.7,826.7,13
1786081440,826.8,827.4,826.7,827.4,313
1786081500,827.4,827.4,826.7,826.7,59
1786081560,826.8,826.8,826.7,826.7,24
1786081620,826.05,826.05,825.9,825.9,55
1786081680,827.0,827.0,826.95,826.95,343
1786081740,826.3,826.3,826.2,826.2,26
1786081800,826.8,826.8,826.15,826.15,6
1786081860,826.2,826.8,826.1,826.8,107
1786081920,826.2,826.2,826.15,826.15,71
1786081980,826.7,826.7,826.15,826.15,2
1786082040,826.75,826.75,826.75,826.75,51
1786082100,826.15,826.15,826.05,826.05,2
1786082160,826.05,826.7,826.05,826.2,146
1786082220,826.2,826.2,826.05,826.05,35
1786082280,826.05,826.05,826.0,826.0,73
1786082340,826.0,826.0,826.0,826.0,39
1786082400,826.0,826.25,826.0,826.25,7
1786082460,826.35,826.45,826.0,826.4,128
1786082520,826.45,826.6,826.0,826.0,277
1786082580,826.0,826.0,825.5,825.5,140
1786082640,825.75,826.0,825.5,825.5,32
1786082700,825.5,825.95,824.0,824.0,66
1786082760,824.1,824.7,824.1,824.1,27
1786082820,824.1,824.1,823.9,824.0,13
1786082880,824.1,824.1,824.1,824.1,7
1786082940,824.1,824.1,823.65,823.9,125
1786083000,821.75,821.75,820.6,820.7,7579
1786083060,820.7,820.85,820.65,820.7,86
1786083120,820.7,821.1,820.7,821.1,99
1786083180,821.5,822.1,821.15,821.6,553
1786083240,821.3,821.5,821.25,821.5,184
1786083300,821.65,822.0,820.9,820.9,1176
1786083360,820.9,822.0,820.9,821.5,454
1786083420,821.5,821.55,821.5,821.55,5
1786083480,821.9,821.9,821.15,821.85,93
1786083540,821.3,821.35,821.25,821.35,6
1786083600,820.5,820.5,818.25,818.55,73849
1786083660,819.35,819.35,818.7,818.7,335
1786083720,818.7,818.7,817.35,817.35,943
1786083780,817.5,817.85,817.5,817.85,2
1786083840,817.2,817.75,817.2,817.25,7
1786083900,817.25,817.95,815.55,815.55,880
1786083960,815.75,815.75,815.05,815.05,500
1786084020,815.45,815.45,814.0,814.6,2717
1786084080,814.0,814.7,814.0,814.65,257
1786084140,815.2,815.2,813.8,814.25,5633
1786084200,814.95,814.95,813.55,813.55,591
1786084260,812.95,813.0,812.05,812.05,588
1786084320,811.65,812.25,811.15,811.8,1586
1786084380,812.0,812.0,811.6,811.6,568
1786084440,811.15,811.6,810.8,811.05,974
1786084500,810.35,815.25,810.35,814.6,3823
1786084560,815.0,815.35,814.0,814.35,552
1786084620,814.35,814.35,814.3,814.3,108
1786084680,814.3,814.3,814.0,814.0,5
1786084740,814.3,814.3,812.8,812.8,569
1786084800,812.95,813.75,812.95,813.75,12
1786084860,812.9,813.05,812.9,813.05,252
1786084920,813.45,813.45,812.65,812.8,216
1786084980,812.85,812.85,812.85,812.85,1
1786085040,813.95,814.1,813.45,813.85,145
1786085100,813.3,813.3,812.5,812.5,831
1786085160,812.5,812.5,812.0,812.0,172
1786085220,812.65,812.8,810.2,810.75,3787
1786085280,810.6,812.0,810.5,811.75,1477
1786085340,811.05,812.5,811.05,811.7,600
1786085400,811.25,812.0,811.2,811.85,474
