time,open,high,low,close,volume
1786074300,185.65,187.36,185.65,187.23,143060
1786074360,187.13,187.47,187.11,187.32,96732
1786074420,187.2,187.2,186.85,186.87,65352
1786074480,187.0,187.02,186.88,187.0,41592
1786074540,187.0,187.09,186.86,186.96,25759
1786074600,186.94,187.2,186.94,187.1,21402
1786074660,187.15,187.35,187.14,187.32,50745
1786074720,187.44,187.6,187.38,187.5,281277
1786074780,187.62,187.78,187.38,187.6,53366
1786074840,187.55,187.66,187.45,187.6,93256
1786074900,187.6,187.79,187.51,187.79,50590
1786074960,187.8,187.92,187.7,187.86,66256
1786075020,187.95,187.95,187.61,187.61,118451
1786075080,187.63,187.8,187.62,187.8,33531
1786075140,187.76,187.78,187.68,187.68,29374
1786075200,187.68,187.68,187.39,187.39,24356
1786075260,187.37,187.48,187.21,187.48,42987
1786075320,187.48,187.71,187.48,187.71,39216
1786075380,187.73,187.8,187.67,187.79,20382
1786075440,187.9,188.14,187.63,187.98,278150
1786075500,188.0,188.0,187.8,187.9,47975
1786075560,187.9,188.37,187.89,188.1,151016
1786075620,188.1,188.3,188.0,188.1,61424
1786075680,188.06,188.34,188.06,188.19,73324
1786075740,188.16,188.2,188.04,188.2,37618
1786075800,188.25,188.25,188.04,188.04,50058
1786075860,188.06,188.1,188.02,188.05,56238
1786075920,188.1,188.17,188.05,188.17,42403
1786075980,188.14,188.2,187.91,188.0,54554
1786076040,187.94,188.0,187.91,187.97,23460
1786076100,188.08,188.14,187.94,188.14,32770
1786076160,188.11,188.12,188.02,188.1,29634
1786076220,188.1,188.18,188.05,188.08,90312
1786076280,188.09,188.18,188.04,188.18,97087
1786076340,188.25,188.25,188.0,188.0,46736
1786076400,188.02,188.16,188.02,188.16,25707
1786076460,188.15,188.16,188.07,188.07,20918
1786076520,188.05,188.1,188.0,188.0,20753
1786076580,188.0,188.19,188.0,188.11,27150
1786076640,188.08,188.19,187.93,187.93,55475
1786076700,188.07,188.07,188.0,188.01,32869
1786076760,188.01,188.03,187.85,187.86,64176
1786076820,187.9,187.95,187.85,187.93,11870
1786076880,187.9,187.96,187.85,187.89,11332
1786076940,187.85,187.88,187.79,187.84,22320
1786077000,187.88,188.09,187.81,188.04,64300
1786077060,187.93,188.0,187.93,187.99,25702
1786077120,188.05,188.05,187.95,187.95,18604
1786077180,187.94,187.94,187.78,187.89,25888
1786077240,187.87,187.89,187.8,187.89,8049
1786077300,187.84,187.87,187.71,187.71,15788
1786077360,187.8,187.8,187.69,187.7,21597
1786077420,187.66,187.75,187.66,187.68,16902
1786077480,187.65,187.73,187.65,187.69,7008
1786077540,187.61,187.65,187.52,187.52,19299
1786077600,187.61,187.61,187.5,187.53,23036
1786077660,187.6,187.6,187.43,187.43,16519
