time,open,high,low,close,volume
1786074300,93.09,93.43,92.57,93.22,486081
1786074360,93.1,93.44,92.97,92.98,418431
1786074420,92.91,93.01,92.87,92.87,225374
1786074480,92.79,92.81,92.64,92.81,118453
1786074540,92.85,92.85,92.78,92.78,139600
1786074600,92.67,92.75,92.65,92.65,92823
1786074660,92.67,92.92,92.67,92.89,53014
1786074720,92.89,93.12,92.88,93.09,141948
1786074780,93.12,93.22,93.08,93.08,136323
1786074840,92.94,92.95,92.9,92.95,33736
1786074900,92.93,93.02,92.8,93.02,56573
1786074960,93.04,93.04,92.95,93.0,59059
1786075020,92.98,92.98,92.81,92.9,201576
1786075080,92.93,92.93,92.75,92.79,42900
1786075140,92.92,92.94,92.89,92.94,143631
1786075200,92.94,92.96,92.9,92.95,31512
1786075260,92.99,93.0,92.9,92.9,24803
1786075320,92.89,93.15,92.89,93.15,91383
1786075380,93.13,93.13,92.95,92.95,63793
1786075440,92.95,93.22,92.95,93.18,110979
1786075500,93.17,93.17,93.11,93.11,29706
1786075560,93.1,93.1,93.05,93.06,16860
1786075620,93.06,93.06,92.86,92.89,68572
1786075680,92.89,92.89,92.82,92.82,38705
1786075740,92.88,92.88,92.82,92.83,31123
1786075800,92.82,92.82,92.75,92.75,17384
1786075860,92.75,92.75,92.62,92.66,50600
1786075920,92.66,92.84,92.66,92.84,24617
1786075980,92.8,92.86,92.8,92.81,10565
1786076040,92.85,92.9,92.82,92.9,8758
1786076100,92.92,92.95,92.89,92.91,21354
1786076160,92.85,92.89,92.75,92.75,13931
1786076220,92.79,92.79,92.71,92.75,10206
1786076280,92.72,92.78,92.72,92.72,33175
1786076340,92.75,92.98,92.72,92.98,47250
1786076400,92.94,92.97,92.83,92.89,24842
1786076460,92.97,93.09,92.96,93.09,68676
1786076520,93.09,93.18,93.0,93.0,84298
1786076580,93.05,93.05,93.0,93.05,25277
1786076640,93.05,93.05,93.02,93.05,11370
1786076700,93.04,93.15,93.01,93.15,66227
1786076760,93.08,93.72,93.07,93.72,185209
1786076820,93.89,93.95,93.62,93.62,419909
1786076880,93.68,94.19,93.6,93.99,724735
1786076940,94.0,94.0,93.68,93.68,162167
1786077000,93.71,94.09,93.67,94.0,228179
1786077060,93.99,94.0,93.85,93.93,107187
1786077120,93.99,93.99,93.81,93.81,109653
1786077180,93.85,94.93,93.8,94.9,1176594
1786077240,94.94,94.95,94.3,94.3,315779
1786077300,94.3,94.3,94.03,94.1,113395
1786077360,94.05,94.2,94.03,94.13,79882
1786077420,94.15,94.25,94.12,94.14,116626
1786077480,94.16,94.78,94.04,94.71,395158
1786077540,94.72,94.97,94.66,94.9,411039
1786077600,94.92,94.98,94.8,94.86,209950
1786077660,94.8,94.88,94.57,94.7,206172
1786077720,94.65,94.7,94.6,94.62,116177
1786077780,94.61,94.65,94.56,94.64,72156
1786077840,94.64,94.79,94.53,94.53,170823
1786077900,94.46,94.99,94.46,94.85,259086
