time,open,high,low,close,volume
1786074300,1107.6,1107.6,1102.9,1104.0,1852
1786074360,1104.0,1104.0,1101.5,1101.8,2688
1786074420,1103.0,1104.6,1102.6,1104.5,2854
1786074480,1104.0,1104.0,1101.4,1102.7,1335
1786074540,1103.0,1103.4,1102.0,1102.7,2250
1786074600,1103.0,1103.9,1102.6,1103.9,1445
1786074660,1105.3,1105.3,1105.0,1105.2,346
1786074720,1105.8,1105.8,1103.8,1104.8,711
1786074780,1104.1,1106.2,1104.1,1105.4,2268
1786074840,1105.4,1105.4,1104.4,1104.4,195
1786074900,1104.6,1104.7,1103.6,1104.6,790
1786074960,1103.9,1104.4,1103.6,1104.2,570
1786075020,1104.2,1104.2,1103.2,1103.7,546
1786075080,1103.2,1103.6,1103.0,1103.5,294
1786075140,1102.6,1103.2,1102.5,1102.7,1390
1786075200,1102.7,1103.4,1102.7,1102.8,485
1786075260,1103.3,1104.0,1102.7,1104.0,414
1786075320,1103.2,1104.0,1103.2,1104.0,921
1786075380,1104.6,1104.6,1104.0,1104.0,298
1786075440,1104.4,1104.4,1104.0,1104.3,179
1786075500,1104.3,1105.0,1104.3,1104.9,1122
1786075560,1104.9,1104.9,1104.0,1104.1,114
1786075620,1104.7,1104.7,1103.9,1103.9,361
1786075680,1103.2,1104.0,1103.2,1103.8,591
1786075740,1103.8,1103.9,1103.2,1103.6,259
1786075800,1103.2,1103.6,1103.2,1103.6,154
1786075860,1103.6,1103.6,1103.2,1103.6,254
1786075920,1103.6,1103.6,1103.2,1103.2,146
1786075980,1103.6,1103.7,1102.6,1102.6,3199
1786076040,1102.5,1103.0,1102.0,1103.0,1273
1786076100,1104.9,1106.0,1104.9,1105.5,2485
1786076160,1105.5,1106.0,1105.0,1106.0,665
1786076220,1105.6,1105.9,1105.3,1105.9,265
1786076280,1106.0,1106.7,1105.9,1106.5,924
1786076340,1106.7,1106.7,1105.8,1105.8,228
1786076400,1105.7,1105.8,1105.7,1105.7,2360
1786076460,1105.7,1105.7,1105.4,1105.7,50
1786076520,1105.7,1105.7,1105.7,1105.7,7
1786076580,1105.7,1105.7,1104.9,1104.9,522
1786076640,1105.4,1105.4,1104.9,1104.9,177
1786076700,1105.1,1105.1,1105.0,1105.1,98
1786076760,1104.9,1105.6,1104.5,1104.5,286
1786076820,1104.6,1104.7,1104.6,1104.6,192
1786076880,1104.6,1104.6,1104.6,1104.6,275
1786076940,1104.6,1104.6,1104.1,1104.6,24
1786077000,1104.5,1104.5,1104.1,1104.1,86
1786077060,1104.1,1104.1,1103.5,1103.5,223
1786077120,1103.6,1104.4,1103.5,1104.4,287
1786077180,1103.4,1103.6,1103.4,1103.4,182
1786077240,1103.3,1103.9,1102.7,1103.9,475
1786077300,1104.3,1104.3,1104.1,1104.2,266
1786077360,1104.2,1104.2,1104.0,1104.0,99
1786077420,1104.0,1104.0,1103.4,1104.0,593
1786077480,1104.0,1104.0,1103.6,1103.7,182
1786077540,1104.0,1104.0,1104.0,1104.0,22
1786077600,1104.0,1104.0,1103.6,1103.8,302
1786077660,1103.8,1103.8,1103.2,1103.5,253
1786077720,1103.8,1105.3,1103.8,1104.7,4423
1786077780,1104.9,1104.9,1103.5,1103.5,1163
1786077840,1103.9,1104.6,1103.5,1104.6,428
1786077900,1104.4,1104.4,1104.0,1104.0,100
1786077960,1104.0,1104.4,1102.5,1102.5,1484
1786078020,1102.5,1102.5,1102.2,1102.2,427
1786078080,1101.7,1101.7,1101.4,1101.7,1159
1786078140,1101.7,1101.9,1101.4,1101.7,349
1786078200,1101.7,1102.2,1101.7,1101.8,251
1786078260,1102.0,1102.2,1101.0,1101.2,943
1786078320,1101.7,1101.7,1101.2,1101.6,442
1786078380,1101.1,1101.1,1101.0,1101.1,177
1786078440,1101.1,1102.0,1101.1,1101.1,1086
1786078500,1101.1,1101.6,1101.1,1101.5,96
1786078560,1101.5,1101.9,1101.1,1101.4,485
1786078620,1101.8,1101.8,1101.4,1101.4,40
1786078680,1101.9,1101.9,1101.4,1101.9,129
1786078740,1101.9,1101.9,1101.9,1101.9,103
1786078800,1101.9,1101.9,1101.0,1101.5,1579
1786078860,1101.5,1101.9,1101.5,1101.9,333
1786078920,1101.5,1101.8,1101.5,1101.8,46
1786078980,1101.8,1101.8,1101.3,1101.7,905
1786079040,1101.7,1101.7,1101.3,1101.6,425
1786079100,1101.8,1101.8,1101.6,1101.6,301
1786079160,1101.6,1101.6,1101.1,1101.5,365
1786079220,1101.6,1102.3,1101.6,1102.3,405
1786079280,1102.4,1102.8,1102.2,1102.8,183
1786079340,1103.0,1104.3,1103.0,1104.3,322
1786079400,1104.0,1104.5,1104.0,1104.4,419
1786079460,1104.4,1104.4,1104.0,1104.0,2787
1786079520,1104.0,1104.4,1103.8,1103.8,260
1786079580,1103.8,1105.1,1103.3,1103.3,2427
1786079640,1103.0,1103.3,1102.5,1102.7,589
1786079700,1103.3,1103.3,1102.9,1102.9,16
1786079760,1102.9,1103.3,1102.9,1103.3,182
1786079820,1103.3,1103.3,1102.9,1102.9,28
1786079880,1102.9,1103.3,1102.9,1102.9,100
1786079940,1103.3,1103.3,1102.9,1103.3,145
1786080000,1102.9,1103.0,1102.5,1103.0,136
1786080060,1103.0,1103.0,1102.4,1102.4,452
1786080120,1102.3,1102.5,1102.3,1102.5,83
1786080180,1102.5,1103.7,1102.5,1102.5,609
1786080240,1103.0,1103.0,1103.0,1103.0,68
1786080300,1103.4,1103.4,1102.5,1102.8,211
1786080360,1102.8,1103.3,1102.8,1103.3,112
1786080420,1102.5,1103.2,1102.5,1103.0,105
1786080480,1102.9,1102.9,1102.7,1102.7,360
1786080540,1102.3,1102.3,1101.2,1101.9,1527
1786080600,1101.9,1101.9,1101.9,1101.9,259
1786080660,1101.9,1101.9,1101.6,1101.6,576
1786080720,1101.9,1101.9,1101.7,1101.7,18
1786080780,1101.9,1101.9,1101.6,1101.6,447
1786080840,1101.6,1101.6,1101.5,1101.5,479
1786080900,1101.5,1101.5,1101.1,1101.5,309
1786080960,1101.5,1101.5,1101.1,1101.1,30
1786081020,1101.1,1101.5,1100.0,1100.1,5829
1786081080,1100.2,1100.8,1100.2,1100.2,260
1786081140,1100.3,1100.6,1100.0,1100.6,1822
1786081200,1100.1,1100.6,1100.1,1100.6,152
1786081260,1100.6,1100.6,1100.2,1100.2,49
1786081320,1100.2,1100.6,1100.1,1100.1,1551
1786081380,1100.1,1100.1,1100.1,1100.1,182
1786081440,1100.6,1100.6,1100.1,1100.1,119
1786081500,1100.5,1100.9,1100.5,1100.5,798
1786081560,1100.6,1100.9,1100.6,1100.9,185
1786081620,1100.6,1100.9,1100.6,1100.9,144
1786081680,1100.9,1100.9,1100.9,1100.9,100
1786081740,1100.9,1100.9,1100.8,1100.9,58
1786081800,1100.5,1100.5,1100.0,1100.1,1615
1786081860,1100.7,1100.7,1100.5,1100.7,138
1786081920,1100.5,1101.0,1100.5,1100.9,670
1786081980,1102.4,1103.0,1102.1,1102.5,4314
1786082040,1102.7,1102.7,1101.1,1101.1,2673
1786082100,1101.1,1101.7,1101.1,1101.7,110
